LibRef,Description,Designator,Quantity,DNP
,,,,
GRM188R61E106MA73D,Capacitor,"C1, C2, C3, C4, C5, C6, C8, C9, C10, C11, C12, C14, C15, C16, C17",15,
GRM1885C1H200JA01D,Capacitor,"C7, C13",2,
CDBA240LL-HF,"40V, 2A Schottky diode","D1, D2",2,
LTST-C170GKT,Green 0805 surface mount LED,D3,1,
LTST-C171KRKT,Red 0805 surface mount LED,D4,1,
PTS18126V300,"Polymeric PTC Resettable Fuse 6V 3A Ih Surface Mount 1812 (4532 Metric), Concave",F1,1,
0ZCG0200AF2B,PTC RESETTBLE 2.0A 16V 1812,F2,1,
734346-1,"USB - B USB 2.0 Receptacle Connector 4 Position Surface Mount, Right Angle",J1,1,
436500212,2 Positions Header Connector 3.00mm smt,J2,1,
DFE18SANR47ME0L,470nH Shielded Inductor 2.4A 64 mOhm Max 0603,L1,1,
MD-70,"7 Position Circular Connector Plug, Male Pins Solder, Crimp Pin Adapter Available Silver",P1,1,
Header 2,"Header, 2-Pin",P2,1,DNP
MMBT3904,NPN Transistor,"Q1, Q2",2,
RC0603FR-0710KL,Resistor,"R1, R3, R5, R7, R10, R14, R18",7,
RC0603FR-0720KL,Resistor,R9,1,
RC0603FR-0727RL,Resistor,"R2, R4, R6, R8",4,
RC0603FR-07604RL,604 Ohm +/-1% SMD film resistor,R11,1,
RC0603FR-0751KL,Resistor,"R12, R16",2,
RC0603FR-076K98L,Resistor,R13,1,
RC0603FR-072KL,2.00 kOhm +/-1% SMD film resistor,R15,1,
RC0603FR-072K67L,Resistor,R17,1,
FSM2JMTR,PushButton,S1,1,
FT231XS-R,IC USB SERIAL FULL UART 20SSOP,U1,1,
ESP-12-F,"8bit Microcontroller, with onboard Wifi and EEPROM",U2,1,
TC1262-3.3VDBTR,3.3V Linear LDO regulator,U3,1,
ROF-78E5.0-0.5SMD-R,Non-Isolated PoL Module DC DC Converter 1 Output 5V 500mA 9V - 36V Input,U4,1,
MPM3630GQV-P,DC DC CONVERTER 0.6V-18V,"U5, U6",2,
